Comando,Posicao X,Posicao Y,Sensor Esquerdo,Sensor Frente,Sensor Direito,Carga
LIGAR,0,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,1,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,2,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,3,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,4,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,5,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,6,1,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,7,1,VAZIO,PAREDE,PAREDE,SEM CARGA
MOV_AUTO,7,2,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,7,3,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,7,4,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,7,5,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,7,6,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,7,7,VAZIO,PAREDE,PAREDE,SEM CARGA
MOV_AUTO,6,7,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,5,7,VAZIO,PAREDE,PAREDE,SEM CARGA
MOV_AUTO,5,6,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,5,5,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,5,4,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,5,3,PAREDE,PAREDE,VAZIO,SEM CARGA
MOV_AUTO,4,3,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,3,3,PAREDE,PAREDE,VAZIO,SEM CARGA
MOV_AUTO,3,4,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,3,5,PAREDE,VAZIO,PAREDE,SEM CARGA
MOV_AUTO,3,6,PAREDE,HUMANO,PAREDE,SEM CARGA
P,3,6,PAREDE,HUMANO,PAREDE,COM HUMANO
MOV_AUTO,3,7,VAZIO,PAREDE,PAREDE,COM HUMANO
MOV_AUTO,2,7,PAREDE,VAZIO,PAREDE,COM HUMANO
MOV_AUTO,1,7,VAZIO,PAREDE,PAREDE,COM HUMANO
MOV_AUTO,1,6,PAREDE,VAZIO,PAREDE,COM HUMANO
MOV_AUTO,1,5,PAREDE,VAZIO,PAREDE,COM HUMANO
MOV_AUTO,1,4,PAREDE,VAZIO,PAREDE,COM HUMANO
MOV_AUTO,1,3,PAREDE,PAREDE,PAREDE,COM HUMANO
BACKTRACK,1,4,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,1,5,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,1,6,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,1,7,VAZIO,VAZIO,PAREDE,COM HUMANO
BACKTRACK,2,7,HUMANO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,3,7,PAREDE,VAZIO,VAZIO,COM HUMANO
BACKTRACK,3,6,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,3,5,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,3,4,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,3,3,VAZIO,PAREDE,PAREDE,COM HUMANO
BACKTRACK,4,3,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,5,3,PAREDE,PAREDE,VAZIO,COM HUMANO
BACKTRACK,5,4,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,5,5,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,5,6,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,5,7,VAZIO,VAZIO,PAREDE,COM HUMANO
BACKTRACK,6,7,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,7,7,PAREDE,VAZIO,VAZIO,COM HUMANO
BACKTRACK,7,6,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,7,5,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,7,4,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,7,3,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,7,2,PAREDE,VAZIO,PAREDE,COM HUMANO
BACKTRACK,7,1,PAREDE,PAREDE,VAZIO,COM HUMANO
BACKTRACK,6,1,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,5,1,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,4,1,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,3,1,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,2,1,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,1,1,VAZIO,PAREDE,VAZIO,COM HUMANO
BACKTRACK,0,1,VAZIO,PAREDE,PAREDE,COM HUMANO
